segment,meeting_count,avg_sentiment,avg_risk,negative_or_mixed_negative,top_themes
External Customer,40,3.85,3.47,10,Compliance & Audit Readiness; Reliability & Incident Response; Identity & Access Management; Product Roadmap & Feature Gaps
Internal,30,3.42,3.53,10,Reliability & Incident Response; Compliance & Audit Readiness; Product Roadmap & Feature Gaps; Competitive Pressure
Support,30,2.83,3.9,19,"Reliability & Incident Response; Product Roadmap & Feature Gaps; Compliance & Audit Readiness; Renewal, Churn & Commercial Risk"
